image,green,red,green_ilastik,red_ilastik
No.1-1,59,59,64.8998740911484,54.5204714536667
No.4-1,27,67,26.7191448658705,58.3433864116669
No.6-1,1,33,5.69704190269113,30.3741683363914
No.8-1,39,53,43.8551776409149,55.7480511665344
No.10-1,23,48,29.7290787100792,50.3566805869341
No.12-1,58,42,42.9475813210011,40.9017213582993
